filename,basename,toolid,toolmode,tool_args,parser_version,runid,start,duration,exit_code,findings,infos,errors,fails
/home/user/Documents/GitHub/smartbugs-curated/Splits/QuartoSplit/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,confuzzius,solidity,,2022/12/31,20250708_1003,1751967953.8977067,883.6417303085327,0,"{Assertion_Failure@83,Reentrancy@54,Transaction_Order_Dependency@23,Transaction_Order_Dependency@43}",{},{Validation error: Sender account balance cannot afford txn (ignoring for now)},{}
/home/user/Documents/GitHub/smartbugs-curated/Splits/QuartoSplit/0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,confuzzius,solidity,,2022/12/31,20250708_1003,1751968840.057755,882.4081020355225,0,"{Assertion_Failure@83,Reentrancy@44,Reentrancy@54,Transaction_Order_Dependency@30,Transaction_Order_Dependency@43}",{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Splits/QuartoSplit/0x7a8721a9d64c74da899424c1b52acbf58ddc9782.sol,0x7a8721a9d64c74da899424c1b52acbf58ddc9782.sol,confuzzius,solidity,,2022/12/31,20250708_1003,1751969724.9028513,883.0071580410004,0,"{Assertion_Failure@75,Reentrancy@52,Transaction_Order_Dependency@33,Transaction_Order_Dependency@42}",{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Splits/QuartoSplit/0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.sol,0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.sol,confuzzius,solidity,,2022/12/31,20250708_1003,1751970610.322455,883.0254979133606,0,"{Assertion_Failure@72,Block_Dependency@17,Block_Dependency@26,Reentrancy@29,Transaction_Order_Dependency@16}",{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Splits/QuartoSplit/0x8c7777c45481dba411450c228cb692ac3d550344.sol,0x8c7777c45481dba411450c228cb692ac3d550344.sol,confuzzius,solidity,,2022/12/31,20250708_1003,1751971495.7756155,882.6202187538147,0,"{Assertion_Failure@64,Reentrancy@41,Transaction_Order_Dependency@29}",{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Splits/QuartoSplit/guess_the_random_number.sol,guess_the_random_number.sol,confuzzius,solidity,,2022/12/31,20250708_1003,1751975202.9230587,1.6698498725891113,254,{},{},"{EXIT_CODE_254,Problem while deploying contract GuessTheRandomNumberChallenge using account 0xcafebabecafebabecafebabecafebabecafebabe. Error message: b''}",{}
/home/user/Documents/GitHub/smartbugs-curated/Splits/QuartoSplit/short_address_example.sol,short_address_example.sol,confuzzius,solidity,,2022/12/31,20250708_1003,1751972417.459221,892.277530670166,0,{},{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Splits/QuartoSplit/smart_billions.sol,smart_billions.sol,confuzzius,solidity,,2022/12/31,20250708_1003,1751973649.3679333,444.68085074424744,0,"{Assertion_Failure@11,Assertion_Failure@146,Assertion_Failure@155,Assertion_Failure@172,Assertion_Failure@268,Assertion_Failure@279,Block_Dependency@306,Block_Dependency@361,Block_Dependency@517,Block_Dependency@518,Block_Dependency@521,Block_Dependency@523,Block_Dependency@550,Block_Dependency@552,Block_Dependency@560,Block_Dependency@574,Block_Dependency@618,Block_Dependency@626,Block_Dependency@646,Block_Dependency@647,Leaking_Ether@372}",{},{Validation error: Sender account balance cannot afford txn (ignoring for now)},{}
/home/user/Documents/GitHub/smartbugs-curated/Splits/QuartoSplit/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,conkas,solidity,"-vt time_manipulation,unchecked_ll_calls",2022/11/11,20250708_1003,1751961869.6653717,2.881516218185425,0,{},{},{},"{""exception (KeyError: 'time_manipulation,unchecked_ll_calls')""}"
/home/user/Documents/GitHub/smartbugs-curated/Splits/QuartoSplit/0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,conkas,solidity,"-vt time_manipulation,unchecked_ll_calls",2022/11/11,20250708_1003,1751962408.0623224,2.659860372543335,0,{},{},{},"{""exception (KeyError: 'time_manipulation,unchecked_ll_calls')""}"
